NOMBRE;TIPO_GESTION;ESTADO_LICENCIAMIENTO;PERIODO_LICENCIAMIENTO;DEPARTAMENTO_LOCAL;PROVINCIA_LOCAL;DISTRITO_LOCAL
FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;PUEBLO LIBRE
UNIVERSIDAD PARA EL DESARROLLO ANDINO;PRIVADO;LICENCIA OTORGADA;6;HUANCAVELICA;ANGARAES;LIRCAY
UNIVERSIDAD NACIONAL CIRO ALEGRÍA;PÚBLICO;CON INFORME DE REVISIÓN DOCUMENTARIA (IRD) DESFAVORABLE;0;LA LIBERTAD;SÁNCHEZ CARRIÓN;HUAMACHUCO
UNIVERSIDAD DE SAN MARTÍN DE PORRES;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTA ANITA
UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA;PÚBLICO;LICENCIA OTORGADA;6;JUNÍN;TARMA;TARMA
UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LA LIBERTAD;TRUJILLO;TRUJILLO
UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS;PÚBLICO;LICENCIA OTORGADA;6;LORETO;ALTO AMAZONAS;YURIMAGUAS
UNIVERSIDAD ESAN;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN;PÚBLICO;LICENCIA OTORGADA;6;LIMA;HUAURA;HUACHO
UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA;PÚBLICO;LICENCIA OTORGADA;6;AMAZONAS;BAGUA;BAGUA
UNIVERSIDAD PRIVADA DEL NORTE S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LA LIBERTAD;TRUJILLO;TRUJILLO
UNIVERSIDAD SAN PEDRO;PRIVADO;LICENCIA DENEGADA;0;ÁNCASH;SANTA;CHIMBOTE
UNIVERSIDAD CATÓLICA DE SANTA MARÍA;PRIVADO;LICENCIA OTORGADA;6;AREQUIPA;AREQUIPA;AREQUIPA
UNIVERSIDAD SAN ANDRÉS S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;INDEPENDENCIA
UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LA MOLINA
UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA;PÚBLICO;LICENCIA OTORGADA;6;AYACUCHO;HUANTA;HUANTA
UNIVERSIDAD MARÍA AUXILIADORA S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SAN JUAN DE LURIGANCHO
UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LAMBAYEQUE;CHICLAYO;PIMENTEL
UNIVERSIDAD PRIVADA SISE S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;ATE
UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LA MOLINA
UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ;PÚBLICO;LICENCIA OTORGADA;6;JUNÍN;HUANCAYO;EL TAMBO
ASOCIACIÓN CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LOS OLIVOS
UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS;PÚBLICO;LICENCIA OTORGADA;6;APURÍMAC;ANDAHUAYLAS;SAN JERÓNIMO
UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CUSCO;LA CONVENCIÓN;SANTA ANA
UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AREQUIPA;AREQUIPA;AREQUIPA
UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO;PÚBLICO;LICENCIA OTORGADA;6;HUANCAVELICA;TAYACAJA;DANIEL HERNÁNDEZ
UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA;PÚBLICO;LICENCIA OTORGADA;6;CUSCO;LA CONVENCIÓN;SANTA ANA
UNIVERSIDAD NACIONAL DE UCAYALI;PÚBLICO;LICENCIA OTORGADA;6;UCAYALI;CORONEL PORTILLO;CALLERIA
