NOMBRE;TIPO_GESTION;ESTADO_LICENCIAMIENTO;PERIODO_LICENCIAMIENTO;DEPARTAMENTO_LOCAL;PROVINCIA_LOCAL;DISTRITO_LOCAL
UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LORETO;MAYNAS;IQUITOS
UNIVERSIDAD NACIONAL TECNOL‡GICA DE LIMA SUR;PÈBLICO;LICENCIA OTORGADA;6;LIMA;LIMA;VILLA EL SALVADOR
UNIVERSIDAD NACIONAL DEL ALTIPLANO;PÈBLICO;LICENCIA OTORGADA;6;PUNO;PUNO;PUNO
UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;PÈBLICO;LICENCIA OTORGADA;10;LIMA;LIMA;LIMA
UNIVERSIDAD AUT‡NOMA MUNICIPAL DE LOS OLIVOS;PÈBLICO;NINGUNO;0;LIMA;LIMA;LOS OLIVOS
UNIVERSIDAD MARCELINO CHAMPAGNAT;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD NACIONAL DE TRUJILLO;PÈBLICO;LICENCIA OTORGADA;8;LA LIBERTAD;TRUJILLO;TRUJILLO
UNIVERSIDAD SANTO DOMINGO DE GUZMµN S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;HUAROCHIR÷;SAN ANTONIO
UNIVERSIDAD TECNOL‡GICA DE LOS ANDES;PRIVADO;LICENCIA OTORGADA;6;APURIMAC;ABANCAY;ABANCAY
UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD NACIONAL DE JULIACA;PÈBLICO;LICENCIA OTORGADA;6;PUNO;SAN ROMµN;JULIACA
UNIVERSIDAD PERUANA SANTO TOMµS DE AQUINO DE CIENCIA E INTEGRACI‡N S.A.C.;PRIVADO;LICENCIA DENEGADA;0;JUN÷N;HUANCAYO;HUANCAYO
UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRI‡N;PÈBLICO;LICENCIA OTORGADA;6;PASCO;PASCO;YANACANCHA
UNIVERSIDAD PERUANA SIM‡N BOL÷VAR S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;PUEBLO LIBRE
UNIVERSIDAD CAT‡LICA SEDES SAPIENTIAE;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LOS OLIVOS
UNIVERSIDAD AUT‡NOMA DEL PERÈ S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;VILLA EL SALVADOR
UNIVERSIDAD ANDINA NêSTOR CµCERES VELµSQUEZ;PRIVADO;LICENCIA DENEGADA;0;PUNO;SAN ROMµN;JULIACA
UNIVERSIDAD PRIVADA JUAN MEJ÷A BACA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LAMBAYEQUE;CHICLAYO;CHICLAYO
UNIVERSIDAD PERUANA DEL CENTRO;PRIVADO;EN VERIFICACI‡N PRESENCIAL;0;JUNIN;HUANCAYO;HUANCAYO
UNIVERSIDAD PRIVADA NORBERT WIENER S.A.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LIMA
UNIVERSIDAD PERUANA DE INTEGRACI‡N GLOBAL S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;UCAYALI;CORONEL PORTILLO;CALLERIA
UNIVERSIDAD CAT‡LICA SANTO TORIBIO DE MOGROVEJO;PRIVADO;LICENCIA OTORGADA;6;LAMBAYEQUE;CHICLAYO;CHICLAYO
UNIVERSIDAD LA SALLE;PRIVADO;LICENCIA OTORGADA;6;AREQUIPA;AREQUIPA;AREQUIPA
UNIVERSIDAD TECNOL‡GICA DEL PERÈ S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LIMA
UNIVERSIDAD SEMINARIO EVANGêLICO DE LIMA;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LA MOLINA
UNIVERSIDAD DE LAMBAYEQUE S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LAMBAYEQUE;CHICLAYO;CHICLAYO
UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZON÷A;PÈBLICO;LICENCIA OTORGADA;6;UCAYALI;CORONEL PORTILLO;YARINACOCHA
UNIVERSIDAD DE PIURA;PRIVADO;LICENCIA OTORGADA;8;PIURA;PIURA;PIURA
UNIVERSIDAD DEL PAC÷FICO;PRIVADO;LICENCIA OTORGADA;8;LIMA;LIMA;JESÈS MAR÷A
UNIVERSIDAD PRIVADA ANTENOR ORREGO;PRIVADO;LICENCIA OTORGADA;6;LA LIBERTAD;TRUJILLO;TRUJILLO
UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA;PÈBLICO;LICENCIA OTORGADA;6;JUN÷N;CHANCHAMAYO;CHANCHAMAYO
UNIVERSIDAD CAT‡LICA SAN PABLO;PRIVADO;LICENCIA OTORGADA;6;AREQUIPA;AREQUIPA;AREQUIPA
UNIVERSIDAD NACIONAL DE MOQUEGUA;PÈBLICO;LICENCIA OTORGADA;6;MOQUEGUA;MARISCAL NIETO;MOQUEGUA
UNIVERSIDAD NACIONAL DEL SANTA;PÈBLICO;LICENCIA OTORGADA;6;µNCASH;SANTA;NUEVO CHIMBOTE
UNIVERSIDAD NACIONAL AUT‡NOMA DE CHOTA;PÈBLICO;LICENCIA OTORGADA;6;CAJAMARCA;CHOTA;CHOTA
FACULTAD DE TEOLOG÷A PONTIFICIA Y CIVIL DE LIMA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;PUEBLO LIBRE
UNIVERSIDAD PARA EL DESARROLLO ANDINO;PRIVADO;LICENCIA OTORGADA;6;HUANCAVELICA;ANGARAES;LIRCAY
UNIVERSIDAD NACIONAL CIRO ALEGR÷A;PÈBLICO;CON INFORME DE REVISI‡N DOCUMENTARIA (IRD) DESFAVORABLE;0;LA LIBERTAD;SµNCHEZ CARRI‡N;HUAMACHUCO
UNIVERSIDAD DE SAN MART÷N DE PORRES;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTA ANITA
UNIVERSIDAD NACIONAL AUT‡NOMA ALTOANDINA DE TARMA;PÈBLICO;LICENCIA OTORGADA;6;JUN÷N;TARMA;TARMA
UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LA LIBERTAD;TRUJILLO;TRUJILLO
UNIVERSIDAD NACIONAL AUT‡NOMA DE ALTO AMAZONAS;PÈBLICO;LICENCIA OTORGADA;6;LORETO;ALTO AMAZONAS;YURIMAGUAS
UNIVERSIDAD ESAN;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SANTIAGO DE SURCO
UNIVERSIDAD NACIONAL JOSê FAUSTINO SµNCHEZ CARRI‡N;PÈBLICO;LICENCIA OTORGADA;6;LIMA;HUAURA;HUACHO
UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGU÷A DE BAGUA;PÈBLICO;LICENCIA OTORGADA;6;AMAZONAS;BAGUA;BAGUA
UNIVERSIDAD PRIVADA DEL NORTE S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LA LIBERTAD;TRUJILLO;TRUJILLO
UNIVERSIDAD SAN PEDRO;PRIVADO;LICENCIA DENEGADA;0;µNCASH;SANTA;CHIMBOTE
UNIVERSIDAD CAT‡LICA DE SANTA MAR÷A;PRIVADO;LICENCIA OTORGADA;6;AREQUIPA;AREQUIPA;AREQUIPA
UNIVERSIDAD SAN ANDRêS S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;INDEPENDENCIA
UNIVERSIDAD FEMENINA DEL SAGRADO CORAZ‡N;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LA MOLINA
UNIVERSIDAD NACIONAL AUT‡NOMA DE HUANTA;PÈBLICO;LICENCIA OTORGADA;6;AYACUCHO;HUANTA;HUANTA
UNIVERSIDAD MAR÷A AUXILIADORA S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;SAN JUAN DE LURIGANCHO
UNIVERSIDAD SE•OR DE SIPµN S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LAMBAYEQUE;CHICLAYO;PIMENTEL
UNIVERSIDAD PRIVADA SISE S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;ATE
UNIVERSIDAD DE CIENCIAS Y ARTES DE AMêRICA LATINA S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LA MOLINA
UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÈ;PÈBLICO;LICENCIA OTORGADA;6;JUN÷N;HUANCAYO;EL TAMBO
ASOCIACI‡N CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;LOS OLIVOS
UNIVERSIDAD NACIONAL JOSê MAR÷A ARGUEDAS;PÈBLICO;LICENCIA OTORGADA;6;APUR÷MAC;ANDAHUAYLAS;SAN JER‡NIMO
